"","cameras.Camera_sta","Min.dist"
"1","CT-1A",201.461158226041
"2","CT-1B",1.74026776694372
"3","CT-1C",381.448876930812
"4","CT-2A",345.413231246493
"5","CT-2B",223.989844094561
"6","CT-2C",192.219582087107
"7","CT-3A",10.4127098206264
"8","CT-3B",74.5794668247054
"9","CT-3C",18.8760266130563
"10","CT-4A",24.5040247493482
"11","CT-4B",147.728796459142
"12","CT-4C",83.0170059704137
"13","CT-5A",209.140608644657
"14","CT-5B",336.338018515852
"15","CT-5C",25.0336857473133
"16","CT-6A",173.862288420315
"17","CT-6B",0.785984317541216
"18","CT-6C",287.513158492295
"19","CT-7A",467.228806808421
"20","CT-7B",136.200140172615
"21","CT-7C",119.861591280707
"22","CT-8A",13.2708405323372
"23","CT-8B",31.0223693854541
"24","CT-8C",268.466264225983
